Question,Document Size (bytes),Analysis Time (seconds),LLM Model
Was sind die Kernaspekte?,384355,10.38791298866272,gemma3:12b
Was sind die Kernaspekte?,384355,16.581698656082153,gemma3:12b
Was sind die Kernaspekte?,3655515,17.313623189926147,gemma3:12b
Was ist Localized Exploitation?,3655515,37.78896903991699,gemma3:12b
Was sind die Kernkonzepte?,384355,105.84485602378844,ministral-3:8b
Was ist digitale Transformation?,384355,45.809301137924194,ministral-3:14b
Fasse das wichtigste zusammen zu der Regelung.,319333,82.9566080570221,gemma3:12b
Wer hat das unterschrieben?,96676,5.739258050918579,gemma3:12b
Was sind die Kernpunkte?,96676,69.92933988571167,gemma3:12b
kernpunkte,96676,75.74448418617249,gemma3:12b
Kernpunkte,96676,76.49066400527954,gemma3:12b
Kernpunkte,2790358,83.98845601081848,gemma3:12b
Kernpunkte,2790358,93.91696405410768,gemma3:12b
Kernpunkte,3483577,61.048985958099365,gemma3:12b
Kernpunkte,3483577,72.43563103675842,gemma3:12b
Kernpunkte,3483577,50.37887120246887,gemma3:12b
Was sind die Kernpunkte?,3483577,65.59097003936768,gemma3:12b
Was sind Kernpunkte?,3483577,136.25179076194763,gemma3:12b
Create a short summary on the topics that are marked as relevant for the exam. Should be suitable for studying.,545332,163.41774892807007,ministral-3:14b
"Explain these topics: Motivation Models Hygiene and motivation factors Intrinsic versus extrinsic motivation Theory of needs Theory X, Theory Y, and Theory Z Tuckman ladder: 5 phases of team forming",545332,250.97283101081848,ministral-3:14b
Was sind die Kernaspekte?,3655515,57.9957480430603,gemma3:12b
Was sind die Kernkonzepte,3655515,320.23763489723206,ministral-3:14b
Was sind die Kernkonzepte?,108019,46.38593816757202,gemma3:12b
